組別,分數區間均數,人數,百分比,累計人數,累計百分比
7,70.5,128,0.52,22912,93.6
7,67.5,108,0.44,23020,94.04
7,64.5,75,0.31,23095,94.35
7,61.5,86,0.35,23181,94.7
7,58.5,56,0.23,23237,94.93
7,55.5,44,0.18,23281,95.11
7,52.5,40,0.16,23321,95.27
7,49.5,27,0.11,23348,95.38
7,46.5,12,0.05,23360,95.43
7,43.5,22,0.09,23382,95.52
7,40.5,13,0.05,23395,95.58
7,37.5,8,0.03,23403,95.61
7,34.5,12,0.05,23415,95.66
7,31.5,6,0.02,23421,95.68
7,28.5,8,0.03,23429,95.71
7,25.5,17,0.07,23446,95.78
7,22.5,9,0.04,23455,95.82
7,19.5,16,0.07,23471,95.89
7,16.5,19,0.08,23490,95.96
7,13.5,13,0.05,23503,96.02
7,10.5,8,0.03,23511,96.05
7,7.5,4,0.02,23515,96.07
7,4.5,1,0,23516,96.07
7,1.5,962,3.93,24478,100
8,398,0,0,0,0
8,394,0,0,0,0
8,390,0,0,0,0
8,386,0,0,0,0
8,382,0,0,0,0
8,378,0,0,0,0
8,374,1,0,1,0
8,370,3,0.01,4,0.02
8,366,2,0.01,6,0.03
8,362,9,0.04,15,0.07
8,358,14,0.06,29,0.13
8,354,20,0.09,49,0.23
8,350,36,0.17,85,0.39
8,346,49,0.23,134,0.62
8,342,66,0.31,200,0.93
8,338,104,0.48,304,1.41
8,334,106,0.49,410,1.9
8,330,142,0.66,552,2.56
8,326,179,0.83,731,3.39
8,322,205,0.95,936,4.34
8,318,246,1.14,1182,5.49
8,314,269,1.25,1451,6.73
8,310,301,1.4,1752,8.13
8,306,344,1.6,2096,9.73
8,302,335,1.55,2431,11.28
8,298,367,1.7,2798,12.99
8,294,341,1.58,3139,14.57
8,290,392,1.82,3531,16.39
8,286,402,1.87,3933,18.25
8,282,383,1.78,4316,20.03
8,278,384,1.78,4700,21.81
8,274,401,1.86,5101,23.67
8,270,394,1.83,5495,25.5
8,266,470,2.18,5965,27.68
8,262,441,2.05,6406,29.73
8,258,462,2.14,6868,31.88
8,254,438,2.03,7306,33.91
8,250,434,2.01,7740,35.92
8,246,448,2.08,8188,38
8,242,459,2.13,8647,40.13
8,238,439,2.04,9086,42.17
8,234,457,2.12,9543,44.29
8,230,465,2.16,10008,46.45
8,226,466,2.16,10474,48.61
8,222,465,2.16,10939,50.77
8,218,448,2.08,11387,52.85
8,214,469,2.18,11856,55.03
8,210,481,2.23,12337,57.26
8,206,455,2.11,12792,59.37
8,202,468,2.17,13260,61.54
8,198,438,2.03,13698,63.58
